shipment_id,origin_port_id,destination_port_id,carrier_id,departure_date,scheduled_arrival,actual_arrival,cost_usd,status
SHP00139,P010,P012,C010,2023-07-16,2023-07-31,2023-07-31,2492.24,Delivered
SHP00140,P012,P002,C009,2024-01-09,2024-01-26,2024-01-26,5001.06,Delivered
SHP00141,P008,P007,C007,2024-01-18,2024-02-08,2024-02-08,4687.61,Delivered
SHP00142,P008,P002,C002,2024-05-01,2024-05-22,2024-05-24,5356.51,Delivered
SHP00143,P009,P001,C010,2023-07-30,2023-08-21,2023-08-21,2333.38,Delivered
SHP00144,P012,P001,C005,2023-09-07,2023-09-25,2023-09-25,4591.92,Delivered
SHP00145,P011,P008,C004,2024-05-17,2024-06-07,2024-06-07,5584.6,In Transit
SHP00146,P009,P011,C010,2023-11-23,2023-12-15,2023-12-18,4642.72,Delayed
SHP00147,P005,P001,C003,2022-10-07,2022-10-20,2022-10-20,2403.19,Delivered
SHP00148,P011,P007,C002,2022-05-26,2022-06-15,2022-06-15,2306.62,Delivered
SHP00149,P007,P008,C008,2022-12-16,2023-01-07,2023-01-07,6133.79,Delivered
SHP00150,P001,P004,C003,2024-02-12,2024-02-26,2024-02-26,2561.61,Delivered
SHP00151,P008,P011,C008,2023-03-01,2023-03-25,2023-03-25,5260.58,Delivered
SHP00152,P010,P008,C009,2023-11-15,2023-12-07,2023-12-09,4605.86,Delayed
SHP00153,P001,P005,C005,2022-08-05,2022-08-19,2022-08-19,1862.53,Delivered
SHP00154,P003,P004,C007,2023-06-30,2023-07-15,2023-07-15,2781.75,Delivered
SHP00155,P006,P002,C007,2024-06-01,2024-06-21,2024-06-21,5543.48,Delivered
SHP00156,P012,P011,C007,2022-10-24,2022-11-08,2022-11-08,4864.55,Delivered
SHP00157,P010,P008,C006,2022-04-01,2022-04-25,2022-04-25,3675.57,Delivered
SHP00158,P005,P007,C004,2022-12-08,2022-12-22,2022-12-24,1737.25,Delayed
SHP00159,P009,P004,C006,2022-12-26,2023-01-15,2023-01-15,2519.06,Delivered
SHP00160,P011,P002,C003,2024-03-02,2024-03-22,2024-03-22,3257.06,Delivered
SHP00161,P008,P012,C010,2023-10-21,2023-11-05,2023-11-05,2699.17,Delivered
SHP00162,P008,P009,C005,2024-03-26,2024-04-07,2024-04-07,2433.76,Delivered
SHP00163,P008,P009,C001,2022-02-28,2022-03-12,2022-03-12,2706.68,Delivered
SHP00164,P009,P007,C008,2023-08-18,2023-09-09,2023-09-09,3513.5,Delivered
SHP00165,P010,P012,C004,2022-11-26,2022-12-15,2022-12-15,2275.76,Delivered
SHP00166,P006,P002,C009,2023-10-24,2023-11-15,2023-11-19,5893.19,Delayed
SHP00167,P009,P010,C010,2022-06-12,2022-06-27,2022-06-27,1831.81,Delivered
SHP00168,P011,P012,C006,2022-03-09,2022-03-28,2022-03-28,4434.85,Delivered
SHP00169,P012,P011,C010,2024-06-13,2024-06-29,2024-06-29,3983.98,Delivered
SHP00170,P012,P002,C005,2023-07-27,2023-08-16,2023-08-16,3827.66,Delivered
SHP00171,P012,P011,C009,2022-04-06,2022-04-26,2022-04-26,2213.8,Delivered
SHP00172,P008,P004,C004,2022-05-21,2022-06-01,2022-06-02,4199.38,Delayed
SHP00173,P009,P010,C001,2023-11-09,2023-11-24,2023-11-24,2641.4,Delivered
SHP00174,P012,P010,C003,2024-01-09,2024-01-26,2024-01-28,2254.86,Delayed
SHP00175,P008,P011,C005,2024-02-10,2024-03-08,2024-03-08,5535.02,Delivered
SHP00176,P004,P007,C010,2023-03-28,2023-04-18,2023-04-18,3889.63,Delivered
SHP00177,P007,P003,C004,2024-03-31,2024-04-29,2024-05-01,3760.18,Delayed
SHP00178,P002,P010,C002,2022-10-19,2022-10-24,2022-10-24,400.0,Delivered
SHP00179,P003,P008,C002,2022-08-16,2022-09-02,2022-09-02,2868.91,Delivered
SHP00180,P007,P002,C006,2022-08-18,2022-08-28,2022-08-28,2365.38,Delivered
SHP00181,P006,P003,C003,2022-02-09,2022-02-23,2022-02-23,2990.99,Delivered
SHP00182,P010,P001,C002,2022-01-20,2022-01-27,2022-01-27,400.0,Delivered
SHP00183,P010,P009,C007,2022-04-24,2022-05-08,2022-05-08,2132.74,Delivered
SHP00184,P002,P003,C008,2023-09-04,2023-10-02,2023-10-05,6117.97,Delayed
SHP00185,P003,P006,C007,2022-01-02,2022-01-21,2022-01-21,3029.5,Delivered
SHP00186,P006,P002,C009,2023-07-12,2023-08-09,2023-08-09,5908.05,Delivered
SHP00187,P008,P001,C007,2023-01-18,2023-02-11,2023-02-11,5195.92,Delivered
SHP00188,P002,P011,C006,2022-05-17,2022-05-27,2022-05-27,2627.05,Delivered
SHP00189,P011,P008,C008,2023-10-09,2023-10-31,2023-10-31,4139.21,Delivered
SHP00190,P001,P005,C001,2022-11-20,2022-11-30,2022-11-30,2205.99,Delivered
SHP00191,P005,P001,C004,2022-10-20,2022-10-30,2022-10-30,1306.38,Delivered
SHP00192,P007,P008,C008,2023-01-31,2023-02-25,2023-02-25,5017.19,Delivered
SHP00193,P009,P005,C002,2024-01-15,2024-02-08,2024-02-14,5338.38,Delayed
SHP00194,P002,P007,C005,2022-11-10,2022-11-27,2022-11-27,2062.49,Delivered
SHP00195,P006,P009,C001,2024-01-15,2024-01-31,2024-01-31,2218.3,Delivered
SHP00196,P001,P003,C007,2023-01-08,2023-02-05,2023-02-05,6094.37,Delivered
SHP00197,P003,P011,C008,2022-02-05,2022-02-27,2022-02-28,5868.06,Delayed
SHP00198,P010,P003,C008,2023-01-15,2023-02-07,2023-02-07,4046.75,Delivered
SHP00199,P006,P008,C006,2023-10-28,2023-11-11,2023-11-11,2078.36,Delivered
SHP00200,P009,P002,C005,2024-03-04,2024-03-22,2024-03-22,2637.34,Delivered
SHP00201,P012,P008,C004,2022-05-06,2022-05-17,2022-05-17,2927.62,Delivered
SHP00202,P011,P006,C006,2023-12-28,2024-01-18,2024-01-18,4478.75,Delivered
SHP00203,P003,P012,C003,2024-03-23,2024-04-04,2024-04-04,2147.35,Delivered
SHP00204,P001,P007,C009,2023-08-10,2023-08-25,2023-08-25,3563.82,Delivered
SHP00205,P002,P003,C005,2023-02-12,2023-03-11,2023-03-11,6393.04,Delivered
SHP00206,P011,P002,C008,2023-04-23,2023-05-13,2023-05-13,1946.9,Delivered
SHP00207,P009,P012,C010,2022-07-06,2022-07-18,2022-07-18,3341.61,Delivered
SHP00208,P003,P004,C006,2023-12-28,2024-01-08,2024-01-08,3479.43,Delivered
SHP00209,P002,P006,C004,2023-10-13,2023-11-10,2023-11-10,5311.82,Delivered
SHP00210,P010,P011,C003,2022-06-25,2022-07-05,2022-07-05,1459.05,Delivered
SHP00211,P010,P001,C001,2022-03-25,2022-03-30,2022-03-30,1523.26,Delivered
SHP00212,P010,P012,C001,2023-05-25,2023-06-14,2023-06-14,3257.16,Delivered
SHP00213,P004,P012,C007,2022-11-01,2022-11-18,2022-11-21,1454.92,Delayed
SHP00214,P010,P003,C006,2024-06-01,2024-06-24,2024-06-24,6098.3,Delivered
SHP00215,P006,P010,C009,2022-04-19,2022-05-12,2022-05-12,3428.87,Delivered
SHP00216,P007,P011,C007,2022-09-12,2022-09-24,2022-09-24,3367.07,Delivered
SHP00217,P004,P003,C008,2023-06-12,2023-06-25,2023-06-25,3585.03,Delivered
SHP00218,P004,P005,C010,2022-12-28,2023-01-15,2023-01-19,4697.9,Delayed
SHP00219,P011,P012,C008,2022-10-20,2022-11-11,2022-11-12,3188.43,Delayed
SHP00220,P007,P006,C001,2023-02-15,2023-03-07,2023-03-07,4768.86,Delivered
SHP00221,P002,P008,C009,2023-04-07,2023-05-05,2023-05-05,6517.73,Delivered
SHP00222,P007,P006,C006,2023-07-26,2023-08-20,2023-08-20,4295.4,Delivered
SHP00223,P009,P001,C001,2022-02-09,2022-02-25,2022-02-25,4141.56,Delivered
SHP00224,P003,P007,C010,2022-11-23,2022-12-15,2022-12-15,5334.4,Delivered
SHP00225,P010,P006,C009,2024-04-28,2024-05-24,2024-05-24,4944.03,Delivered
SHP00226,P002,P008,C010,2022-11-12,2022-12-12,2022-12-16,5843.28,Delayed
SHP00227,P010,P011,C004,2024-01-09,2024-01-14,2024-01-14,564.76,Delivered
SHP00228,P003,P012,C004,2022-02-02,2022-02-16,2022-02-16,1496.82,Delivered
SHP00229,P006,P008,C003,2023-02-27,2023-03-12,2023-03-12,3914.85,Delivered
SHP00230,P001,P004,C009,2022-08-01,2022-08-23,2022-08-23,3484.42,Delivered
SHP00231,P006,P003,C008,2023-06-30,2023-07-15,2023-07-15,3452.99,Delivered
SHP00232,P005,P011,C008,2022-07-16,2022-07-25,2022-07-25,1343.72,Delivered
SHP00233,P005,P006,C004,2023-12-08,2023-12-21,2023-12-21,940.77,Delivered
SHP00234,P005,P002,C010,2023-11-24,2023-12-06,2023-12-06,2125.02,Delivered
SHP00235,P003,P006,C001,2022-10-22,2022-11-02,2022-11-02,2589.76,Delivered
SHP00236,P009,P005,C009,2023-12-14,2024-01-05,2024-01-06,5553.73,Delayed
SHP00237,P004,P001,C009,2022-08-20,2022-09-06,2022-09-07,3416.39,Delayed
SHP00238,P001,P010,C003,2023-02-21,2023-03-03,2023-03-03,1362.24,Delivered
SHP00239,P004,P006,C006,2022-10-20,2022-11-04,2022-11-15,2919.94,Delayed
SHP00240,P001,P004,C007,2024-06-22,2024-07-08,2024-07-08,2439.21,Delivered
SHP00241,P003,P006,C001,2022-01-10,2022-01-24,2022-01-24,2513.09,Delivered
SHP00242,P009,P010,C008,2024-06-29,2024-07-11,2024-07-11,2588.37,In Transit
SHP00243,P006,P003,C008,2023-10-26,2023-11-09,2023-11-09,1733.16,Delivered
SHP00244,P004,P003,C010,2024-05-26,2024-06-10,2024-06-10,3338.46,Delivered
SHP00245,P011,P002,C003,2022-05-24,2022-06-10,2022-06-10,2225.52,Delivered
SHP00246,P006,P005,C010,2024-01-11,2024-01-23,2024-02-04,2555.1,Delayed
SHP00247,P001,P012,C002,2023-04-22,2023-05-10,2023-05-10,5038.16,Delivered
SHP00248,P012,P002,C005,2023-01-12,2023-01-29,2023-01-29,2563.0,Delivered
SHP00249,P012,P010,C006,2023-03-02,2023-03-20,2023-03-20,3411.88,Delivered
SHP00250,P011,P010,C002,2023-06-23,2023-07-01,2023-07-01,400.0,Delivered
SHP00251,P002,P001,C009,2023-06-02,2023-06-15,2023-06-15,1804.5,Delivered
SHP00252,P004,P011,C008,2022-04-04,2022-04-26,2022-04-26,3352.87,Delivered
SHP00253,P007,P009,C010,2022-03-01,2022-03-23,2022-03-23,4050.48,Delivered
SHP00254,P012,P004,C010,2022-03-16,2022-03-26,2022-03-26,2307.8,Delivered
SHP00255,P001,P003,C008,2022-02-02,2022-02-26,2022-02-26,6304.78,Delivered
SHP00256,P007,P006,C007,2023-04-05,2023-05-01,2023-05-01,4442.94,Delivered
SHP00257,P009,P003,C006,2022-05-02,2022-05-13,2022-05-13,3523.63,Delivered
SHP00258,P001,P006,C008,2023-11-21,2023-12-19,2023-12-19,5993.09,Delivered
SHP00259,P008,P006,C003,2022-10-10,2022-10-23,2022-10-23,3641.22,Delivered
SHP00260,P001,P005,C004,2022-03-10,2022-03-18,2022-03-18,2579.39,Delivered
SHP00261,P001,P005,C001,2023-02-16,2023-02-27,2023-02-27,1929.7,Delivered
SHP00262,P005,P004,C010,2022-11-23,2022-12-16,2022-12-22,5363.01,Delayed
SHP00263,P009,P004,C007,2022-11-04,2022-11-18,2022-11-20,4104.53,Delayed
SHP00264,P007,P010,C008,2022-02-18,2022-02-25,2022-02-25,713.26,Delivered
SHP00265,P006,P008,C007,2022-06-02,2022-06-16,2022-06-16,2056.75,Delivered
SHP00266,P012,P003,C008,2022-03-01,2022-03-15,2022-03-15,2715.81,Delivered
SHP00267,P007,P004,C005,2022-07-28,2022-08-16,2022-08-16,4869.24,Delivered
SHP00268,P004,P001,C005,2023-01-22,2023-02-05,2023-02-05,2985.63,Delivered
SHP00269,P012,P011,C009,2022-08-11,2022-09-01,2022-09-01,4110.62,Delivered
SHP00270,P004,P002,C008,2022-09-06,2022-09-23,2022-09-23,4238.46,Delivered
SHP00271,P005,P008,C008,2023-07-01,2023-07-14,2023-07-14,1273.23,Delivered
SHP00272,P012,P008,C006,2022-07-28,2022-08-09,2022-08-09,1980.86,Delivered
SHP00273,P012,P003,C001,2022-09-25,2022-10-09,2022-10-09,2569.83,Delivered
SHP00274,P007,P011,C004,2023-05-27,2023-06-14,2023-06-14,2967.34,Delivered
SHP00275,P008,P012,C008,2023-04-17,2023-04-28,2023-04-28,2859.11,Delivered
SHP00276,P009,P012,C001,2023-06-21,2023-07-01,2023-07-01,2540.81,Delivered
SHP00277,P001,P002,C007,2022-05-21,2022-06-10,2022-06-10,3538.88,Delivered
SHP00278,P010,P012,C010,2023-05-10,2023-05-30,2023-05-30,1857.81,Delivered
SHP00279,P001,P002,C009,2024-01-10,2024-01-24,2024-01-24,1515.91,Delivered
SHP00280,P003,P002,C002,2023-06-21,2023-07-13,2023-07-13,5666.08,Delivered
SHP00281,P006,P005,C007,2022-03-22,2022-04-01,2022-04-01,2096.48,Delivered
SHP00282,P002,P012,C001,2022-04-06,2022-04-26,2022-04-26,4663.77,Delivered
SHP00283,P001,P004,C002,2023-05-27,2023-06-16,2023-06-16,4708.18,Delivered
SHP00284,P001,P005,C004,2024-06-07,2024-06-20,2024-06-20,1828.29,In Transit
SHP00285,P011,P005,C009,2023-08-01,2023-08-14,2023-08-15,2076.46,Delayed
SHP00286,P012,P007,C002,2022-11-03,2022-11-19,2022-11-19,5035.77,Delivered
SHP00287,P011,P009,C006,2023-01-29,2023-02-14,2023-02-14,4940.42,Delivered
SHP00288,P002,P008,C004,2024-05-08,2024-05-29,2024-05-29,6282.59,Delivered
SHP00289,P006,P001,C005,2024-03-13,2024-04-09,2024-04-09,5533.25,Delivered
SHP00290,P011,P007,C002,2024-03-01,2024-03-20,2024-03-20,2090.14,Delivered
SHP00291,P005,P003,C007,2023-12-30,2024-01-13,,2298.89,Cancelled
SHP00292,P005,P009,C006,2024-02-19,2024-03-12,2024-03-12,3981.29,Delivered
SHP00293,P009,P010,C009,2023-02-22,2023-03-05,2023-03-10,2950.2,Delayed
SHP00294,P007,P001,C005,2023-02-28,2023-03-16,2023-03-16,3457.62,Delivered
SHP00295,P004,P011,C009,2022-06-23,2022-07-13,2022-07-16,3136.56,Delayed
SHP00296,P005,P008,C005,2023-05-11,2023-05-25,2023-05-25,2166.18,Delivered
SHP00297,P011,P008,C010,2023-09-24,2023-10-17,2023-10-17,4512.58,Delivered
SHP00298,P007,P006,C008,2022-12-09,2023-01-04,2023-01-04,6460.43,Delivered
SHP00299,P003,P006,C006,2023-09-10,2023-09-23,2023-09-23,1877.17,Delivered
SHP00300,P011,P008,C010,2024-03-11,2024-04-03,2024-04-03,4681.51,Delivered
SHP00301,P006,P002,C010,2022-07-24,2022-08-22,2022-08-22,4149.53,Delivered
SHP00302,P012,P004,C008,2024-03-27,2024-04-10,2024-04-10,1917.31,Delivered
