weather_id,port_id,weather_date,condition,wind_speed_kmh,visibility_km
120,P001,2022-12-24,Cloudy,19.4,15
121,P001,2022-12-27,Clear,19.1,9
122,P001,2022-12-30,Fog,5.1,3
123,P001,2023-01-02,Rain,16.2,17
124,P001,2023-01-05,Fog,19.1,3
125,P001,2023-01-08,Clear,19.7,7
126,P001,2023-01-11,Cloudy,6.2,8
127,P001,2023-01-14,Clear,22.0,11
128,P001,2023-01-17,Rain,33.7,16
129,P001,2023-01-20,Cloudy,19.7,16
130,P001,2023-01-23,Rain,24.5,18
131,P001,2023-01-26,Rain,12.3,6
132,P001,2023-01-29,Fog,10.4,3
133,P001,2023-02-01,Rain,25.9,9
134,P001,2023-02-04,Clear,18.7,9
135,P001,2023-02-07,Clear,23.1,10
136,P001,2023-02-10,Clear,28.1,17
137,P001,2023-02-13,Clear,22.6,7
138,P001,2023-02-16,Cloudy,10.7,18
139,P001,2023-02-19,Clear,17.8,14
140,P001,2023-02-22,Cloudy,21.0,17
141,P001,2023-02-25,Cloudy,27.0,7
142,P001,2023-02-28,Clear,22.2,16
143,P001,2023-03-03,Rain,13.1,11
144,P001,2023-03-06,Fog,11.0,2
145,P001,2023-03-09,Clear,10.1,20
146,P001,2023-03-12,Clear,7.1,18
147,P001,2023-03-15,Cloudy,24.6,18
148,P001,2023-03-18,Clear,16.2,9
149,P001,2023-03-21,Clear,10.5,8
150,P001,2023-03-24,Cloudy,29.4,10
151,P001,2023-03-27,Clear,27.5,11
152,P001,2023-03-30,Clear,32.1,18
153,P001,2023-04-02,Cloudy,32.4,8
154,P001,2023-04-05,Thunderstorm,48.3,3
155,P001,2023-04-08,Clear,8.7,7
156,P001,2023-04-11,Clear,22.6,20
157,P001,2023-04-14,Cloudy,27.8,5
158,P001,2023-04-17,Clear,27.6,5
159,P001,2023-04-20,Rain,28.7,6
160,P001,2023-04-23,Clear,20.7,5
161,P001,2023-04-26,Clear,20.6,13
162,P001,2023-04-29,Fog,12.1,2
163,P001,2023-05-02,Cloudy,15.1,15
164,P001,2023-05-05,Storm,80.8,3
165,P001,2023-05-08,Rain,16.4,6
166,P001,2023-05-11,Storm,83.7,1
167,P001,2023-05-14,Clear,31.1,17
168,P001,2023-05-17,Rain,31.6,9
169,P001,2023-05-20,Clear,8.7,13
170,P001,2023-05-23,Fog,16.3,1
171,P001,2023-05-26,Clear,23.6,20
172,P001,2023-05-29,Cloudy,24.8,5
173,P001,2023-06-01,Storm,87.9,3
174,P001,2023-06-04,Clear,15.8,6
175,P001,2023-06-07,Storm,76.8,4
176,P001,2023-06-10,Clear,19.5,7
177,P001,2023-06-13,Clear,33.2,20
178,P001,2023-06-16,Storm,82.9,1
179,P001,2023-06-19,Rain,13.8,11
180,P001,2023-06-22,Rain,31.1,6
181,P001,2023-06-25,Clear,28.9,14
182,P001,2023-06-28,Thunderstorm,89.8,4
183,P001,2023-07-01,Clear,18.4,8
184,P001,2023-07-04,Cloudy,21.2,12
185,P001,2023-07-07,Clear,27.6,7
186,P001,2023-07-10,Clear,34.8,5
187,P001,2023-07-13,Clear,32.9,17
188,P001,2023-07-16,Rain,11.6,13
189,P001,2023-07-19,Rain,33.5,8
190,P001,2023-07-22,Rain,32.7,20
191,P001,2023-07-25,Clear,25.8,12
192,P001,2023-07-28,Fog,16.5,3
193,P001,2023-07-31,Clear,15.3,17
194,P001,2023-08-03,Rain,28.6,18
195,P001,2023-08-06,Rain,11.7,8
196,P001,2023-08-09,Clear,8.3,15
197,P001,2023-08-12,Rain,33.1,8
198,P001,2023-08-15,Cloudy,8.8,15
199,P001,2023-08-18,Fog,13.7,1
200,P001,2023-08-21,Clear,22.7,11
201,P001,2023-08-24,Thunderstorm,89.0,3
202,P001,2023-08-27,Rain,28.9,9
203,P001,2023-08-30,Cloudy,23.0,12
204,P001,2023-09-02,Clear,5.3,19
205,P001,2023-09-05,Clear,29.5,14
206,P001,2023-09-08,Thunderstorm,65.0,4
207,P001,2023-09-11,Clear,13.5,6
208,P001,2023-09-14,Cloudy,14.3,8
209,P001,2023-09-17,Clear,30.4,20
210,P001,2023-09-20,Cloudy,11.5,14
211,P001,2023-09-23,Rain,16.3,15
212,P001,2023-09-26,Clear,26.5,12
213,P001,2023-09-29,Rain,6.6,10
214,P001,2023-10-02,Thunderstorm,76.4,3
215,P001,2023-10-05,Storm,73.0,2
216,P001,2023-10-08,Storm,67.4,3
217,P001,2023-10-11,Cloudy,19.2,16
218,P001,2023-10-14,Rain,16.7,14
219,P001,2023-10-17,Clear,32.7,17
220,P001,2023-10-20,Clear,14.7,6
221,P001,2023-10-23,Thunderstorm,75.5,4
222,P001,2023-10-26,Rain,22.3,19
223,P001,2023-10-29,Rain,13.7,9
224,P001,2023-11-01,Clear,29.1,11
225,P001,2023-11-04,Rain,5.3,8
226,P001,2023-11-07,Rain,34.7,9
227,P001,2023-11-10,Clear,34.5,10
228,P001,2023-11-13,Fog,6.4,2
229,P001,2023-11-16,Clear,6.6,15
230,P001,2023-11-19,Cloudy,34.1,17
231,P001,2023-11-22,Clear,8.6,17
232,P001,2023-11-25,Cloudy,25.6,10
233,P001,2023-11-28,Rain,16.3,7
234,P001,2023-12-01,Rain,30.9,17
235,P001,2023-12-04,Clear,24.6,16
236,P001,2023-12-07,Clear,8.5,8
237,P001,2023-12-10,Cloudy,25.1,12
238,P001,2023-12-13,Clear,22.2,20
239,P001,2023-12-16,Clear,27.4,10
240,P001,2023-12-19,Clear,35.0,18
241,P001,2023-12-22,Clear,8.8,15
242,P001,2023-12-25,Clear,32.3,10
243,P001,2023-12-28,Cloudy,26.0,17
244,P001,2023-12-31,Cloudy,21.1,20
245,P001,2024-01-03,Clear,30.1,8
246,P001,2024-01-06,Rain,11.2,8
247,P001,2024-01-09,Clear,23.0,10
248,P001,2024-01-12,Clear,18.4,15
249,P001,2024-01-15,Clear,8.9,11
250,P001,2024-01-18,Rain,7.6,13
251,P001,2024-01-21,Thunderstorm,41.8,1
252,P001,2024-01-24,Cloudy,15.9,10
253,P001,2024-01-27,Cloudy,33.4,5
254,P001,2024-01-30,Clear,6.4,14
255,P001,2024-02-02,Rain,18.3,20
256,P001,2024-02-05,Rain,20.7,16
257,P001,2024-02-08,Cloudy,20.3,8
258,P001,2024-02-11,Rain,6.3,6
259,P001,2024-02-14,Clear,14.0,11
260,P001,2024-02-17,Fog,14.0,1
261,P001,2024-02-20,Cloudy,13.3,18
262,P001,2024-02-23,Clear,12.6,17
263,P001,2024-02-26,Cloudy,9.9,19
264,P001,2024-02-29,Clear,12.6,18
265,P001,2024-03-03,Fog,7.1,1
266,P001,2024-03-06,Clear,27.0,11
267,P001,2024-03-09,Rain,21.9,10
268,P001,2024-03-12,Cloudy,9.6,18
269,P001,2024-03-15,Clear,33.9,12
270,P001,2024-03-18,Clear,8.7,8
271,P001,2024-03-21,Rain,17.2,15
272,P001,2024-03-24,Cloudy,15.9,15
273,P001,2024-03-27,Rain,9.4,12
274,P001,2024-03-30,Clear,7.9,12
275,P001,2024-04-02,Clear,8.2,8
276,P001,2024-04-05,Clear,26.8,14
277,P001,2024-04-08,Cloudy,29.2,8
278,P001,2024-04-11,Cloudy,26.0,14
279,P001,2024-04-14,Cloudy,23.2,6
280,P001,2024-04-17,Clear,33.4,17
281,P001,2024-04-20,Clear,29.2,17
282,P001,2024-04-23,Cloudy,8.8,5
283,P001,2024-04-26,Rain,26.4,9
284,P001,2024-04-29,Clear,22.0,13
285,P001,2024-05-02,Clear,26.8,16
286,P001,2024-05-05,Rain,12.5,18
287,P001,2024-05-08,Rain,10.5,16
288,P001,2024-05-11,Rain,20.1,13
289,P001,2024-05-14,Fog,12.8,3
290,P001,2024-05-17,Thunderstorm,80.7,3
291,P001,2024-05-20,Cloudy,7.6,14
292,P001,2024-05-23,Cloudy,14.4,7
293,P001,2024-05-26,Cloudy,7.3,12
294,P001,2024-05-29,Fog,7.5,1
295,P001,2024-06-01,Clear,13.6,20
296,P001,2024-06-04,Rain,5.3,18
297,P001,2024-06-07,Rain,33.0,9
298,P001,2024-06-10,Cloudy,20.5,8
299,P001,2024-06-13,Cloudy,23.5,5
300,P001,2024-06-16,Rain,26.1,16
301,P001,2024-06-19,Clear,27.2,6
302,P001,2024-06-22,Cloudy,33.9,12
303,P001,2024-06-25,Clear,16.0,9
304,P001,2024-06-28,Cloudy,33.6,18
305,P002,2022-01-01,Cloudy,10.1,8
306,P002,2022-01-04,Clear,25.4,8
307,P002,2022-01-07,Clear,19.5,13
308,P002,2022-01-10,Clear,27.1,17
309,P002,2022-01-13,Clear,14.1,6
310,P002,2022-01-16,Fog,18.4,2
311,P002,2022-01-19,Clear,5.2,19
312,P002,2022-01-22,Clear,15.6,5
313,P002,2022-01-25,Clear,26.7,17
314,P002,2022-01-28,Clear,8.0,20
315,P002,2022-01-31,Clear,20.9,9
316,P002,2022-02-03,Cloudy,32.4,5
317,P002,2022-02-06,Clear,24.7,12
318,P002,2022-02-09,Cloudy,16.2,16
319,P002,2022-02-12,Cloudy,10.5,13
320,P002,2022-02-15,Clear,18.2,19
321,P002,2022-02-18,Clear,15.6,18
322,P002,2022-02-21,Clear,31.5,11
323,P002,2022-02-24,Clear,13.5,9
324,P002,2022-02-27,Clear,27.3,6
325,P002,2022-03-02,Clear,11.0,20
326,P002,2022-03-05,Fog,19.7,1
327,P002,2022-03-08,Cloudy,21.5,9
328,P002,2022-03-11,Clear,27.9,17
329,P002,2022-03-14,Cloudy,32.7,17
330,P002,2022-03-17,Clear,33.7,5
331,P002,2022-03-20,Clear,15.3,5
332,P002,2022-03-23,Rain,12.1,15
333,P002,2022-03-26,Cloudy,22.9,5
334,P002,2022-03-29,Cloudy,13.7,20
335,P002,2022-04-01,Clear,17.9,9
336,P002,2022-04-04,Rain,10.6,13
337,P002,2022-04-07,Rain,30.9,12
338,P002,2022-04-10,Rain,17.9,20
339,P002,2022-04-13,Rain,29.3,10
340,P002,2022-04-16,Clear,30.6,9
341,P002,2022-04-19,Clear,9.0,6
342,P002,2022-04-22,Clear,10.8,9
343,P002,2022-04-25,Cloudy,23.5,7
344,P002,2022-04-28,Thunderstorm,59.0,5
345,P002,2022-05-01,Clear,24.0,12
346,P002,2022-05-04,Clear,17.8,6
347,P002,2022-05-07,Cloudy,24.3,14
348,P002,2022-05-10,Clear,15.9,16
349,P002,2022-05-13,Rain,12.4,6
350,P002,2022-05-16,Clear,5.0,15
351,P002,2022-05-19,Clear,19.2,8
352,P002,2022-05-22,Cloudy,12.6,20
353,P002,2022-05-25,Clear,14.1,8
354,P002,2022-05-28,Rain,25.5,9
355,P002,2022-05-31,Clear,27.2,16
356,P002,2022-06-03,Rain,22.7,16
357,P002,2022-06-06,Clear,13.3,17
358,P002,2022-06-09,Clear,8.2,8
359,P002,2022-06-12,Clear,34.0,11
360,P002,2022-06-15,Clear,18.4,8
361,P002,2022-06-18,Clear,21.4,15
362,P002,2022-06-21,Clear,19.2,11
363,P002,2022-06-24,Cloudy,9.6,9
364,P002,2022-06-27,Clear,21.5,13
365,P002,2022-06-30,Thunderstorm,78.0,5
366,P002,2022-07-03,Storm,84.7,4
367,P002,2022-07-06,Cloudy,8.5,18
368,P002,2022-07-09,Clear,17.6,5
369,P002,2022-07-12,Clear,13.2,9
370,P002,2022-07-15,Clear,33.7,6
371,P002,2022-07-18,Rain,25.8,17
372,P002,2022-07-21,Cloudy,21.0,7
373,P002,2022-07-24,Clear,27.5,17
374,P002,2022-07-27,Cloudy,16.7,13
375,P002,2022-07-30,Clear,5.1,11
376,P002,2022-08-02,Cloudy,5.3,19
377,P002,2022-08-05,Cloudy,26.6,13
378,P002,2022-08-08,Clear,11.6,13
379,P002,2022-08-11,Cloudy,10.1,6
380,P002,2022-08-14,Cloudy,13.8,9
381,P002,2022-08-17,Fog,9.2,1
382,P002,2022-08-20,Clear,28.7,12
383,P002,2022-08-23,Storm,50.5,1
384,P002,2022-08-26,Clear,15.4,16
385,P002,2022-08-29,Clear,33.4,13
386,P002,2022-09-01,Rain,17.3,14
387,P002,2022-09-04,Clear,6.7,5
388,P002,2022-09-07,Rain,11.6,13
389,P002,2022-09-10,Clear,34.1,8
390,P002,2022-09-13,Rain,25.6,13
391,P002,2022-09-16,Thunderstorm,71.7,5
392,P002,2022-09-19,Clear,18.3,15
393,P002,2022-09-22,Clear,22.4,17
394,P002,2022-09-25,Clear,12.0,18
395,P002,2022-09-28,Clear,32.1,7
396,P002,2022-10-01,Cloudy,18.8,10
397,P002,2022-10-04,Clear,19.7,10
398,P002,2022-10-07,Cloudy,5.6,10
399,P002,2022-10-10,Thunderstorm,80.9,5
400,P002,2022-10-13,Clear,9.3,18
401,P002,2022-10-16,Clear,32.3,17
402,P002,2022-10-19,Clear,20.8,5
403,P002,2022-10-22,Cloudy,16.3,5
404,P002,2022-10-25,Clear,5.4,6
405,P002,2022-10-28,Clear,28.1,13
406,P002,2022-10-31,Clear,23.8,5
407,P002,2022-11-03,Rain,5.3,8
408,P002,2022-11-06,Cloudy,29.5,7
409,P002,2022-11-09,Clear,19.4,19
410,P002,2022-11-12,Rain,14.2,20
411,P002,2022-11-15,Clear,6.7,13
412,P002,2022-11-18,Cloudy,8.7,6
413,P002,2022-11-21,Clear,13.9,18
414,P002,2022-11-24,Clear,32.4,5
415,P002,2022-11-27,Clear,16.6,16
416,P002,2022-11-30,Rain,11.8,17
417,P002,2022-12-03,Rain,26.4,8
418,P002,2022-12-06,Cloudy,34.7,12
419,P002,2022-12-09,Clear,33.7,16
420,P002,2022-12-12,Clear,15.0,16
421,P002,2022-12-15,Fog,18.8,1
422,P002,2022-12-18,Cloudy,10.3,15
423,P002,2022-12-21,Cloudy,25.4,9
424,P002,2022-12-24,Thunderstorm,74.4,5
425,P002,2022-12-27,Rain,15.5,8
426,P002,2022-12-30,Clear,20.0,16
427,P002,2023-01-02,Fog,17.2,3
428,P002,2023-01-05,Rain,28.7,9
429,P002,2023-01-08,Rain,9.4,9
430,P002,2023-01-11,Clear,26.6,20
431,P002,2023-01-14,Rain,8.4,18
432,P002,2023-01-17,Fog,9.2,1
433,P002,2023-01-20,Clear,8.8,17
434,P002,2023-01-23,Clear,19.8,20
435,P002,2023-01-26,Rain,17.4,15
436,P002,2023-01-29,Clear,33.3,12
437,P002,2023-02-01,Clear,21.5,20
438,P002,2023-02-04,Cloudy,29.6,17
439,P002,2023-02-07,Clear,26.4,12
440,P002,2023-02-10,Rain,12.1,5
441,P002,2023-02-13,Clear,30.5,16
442,P002,2023-02-16,Cloudy,33.7,8
443,P002,2023-02-19,Clear,15.5,9
444,P002,2023-02-22,Clear,9.3,18
445,P002,2023-02-25,Clear,29.8,6
446,P002,2023-02-28,Rain,8.5,9
447,P002,2023-03-03,Clear,5.8,18
448,P002,2023-03-06,Clear,26.0,7
449,P002,2023-03-09,Cloudy,22.8,10
450,P002,2023-03-12,Clear,16.0,7
451,P002,2023-03-15,Clear,5.4,18
452,P002,2023-03-18,Clear,10.5,9
453,P002,2023-03-21,Rain,26.0,14
454,P002,2023-03-24,Cloudy,26.7,19
455,P002,2023-03-27,Rain,25.9,14
456,P002,2023-03-30,Clear,6.8,6
457,P002,2023-04-02,Cloudy,10.2,10
458,P002,2023-04-05,Clear,30.0,19
459,P002,2023-04-08,Cloudy,29.9,14
460,P002,2023-04-11,Rain,17.7,10
461,P002,2023-04-14,Clear,7.8,17
462,P002,2023-04-17,Storm,46.3,2
463,P002,2023-04-20,Cloudy,6.7,17
464,P002,2023-04-23,Clear,27.4,7
465,P002,2023-04-26,Rain,19.1,15
466,P002,2023-04-29,Rain,17.2,17
467,P002,2023-05-02,Clear,29.1,18
468,P002,2023-05-05,Clear,8.3,7
469,P002,2023-05-08,Clear,28.4,15
470,P002,2023-05-11,Clear,13.5,8
471,P002,2023-05-14,Clear,22.9,14
472,P002,2023-05-17,Clear,11.1,6
473,P002,2023-05-20,Clear,7.6,6
474,P002,2023-05-23,Cloudy,28.7,6
475,P002,2023-05-26,Clear,7.8,14
476,P002,2023-05-29,Clear,15.7,14
477,P002,2023-06-01,Fog,12.5,2
478,P002,2023-06-04,Rain,26.8,9
479,P002,2023-06-07,Rain,7.9,18
480,P002,2023-06-10,Thunderstorm,65.2,5
481,P002,2023-06-13,Rain,9.5,17
482,P002,2023-06-16,Cloudy,31.1,6
483,P002,2023-06-19,Clear,9.5,19
484,P002,2023-06-22,Clear,23.8,12
485,P002,2023-06-25,Thunderstorm,80.4,2
486,P002,2023-06-28,Rain,9.8,15
487,P002,2023-07-01,Cloudy,8.9,14
488,P002,2023-07-04,Clear,30.7,18
489,P002,2023-07-07,Clear,26.4,17
490,P002,2023-07-10,Clear,34.9,7
491,P002,2023-07-13,Fog,13.5,2
492,P002,2023-07-16,Clear,5.4,14
493,P002,2023-07-19,Cloudy,34.1,7
494,P002,2023-07-22,Cloudy,18.6,10
495,P002,2023-07-25,Fog,7.4,2
496,P002,2023-07-28,Cloudy,15.6,7
497,P002,2023-07-31,Clear,28.2,13
498,P002,2023-08-03,Storm,88.9,4
499,P002,2023-08-06,Rain,9.2,8
500,P002,2023-08-09,Storm,64.4,3
501,P002,2023-08-12,Thunderstorm,60.0,5
502,P002,2023-08-15,Fog,6.9,2
503,P002,2023-08-18,Cloudy,23.7,15
504,P002,2023-08-21,Clear,25.5,19
505,P002,2023-08-24,Clear,31.3,6
506,P002,2023-08-27,Cloudy,24.3,12
507,P002,2023-08-30,Rain,21.8,9
508,P002,2023-09-02,Thunderstorm,54.5,2
509,P002,2023-09-05,Cloudy,30.6,12
510,P002,2023-09-08,Clear,18.9,7
511,P002,2023-09-11,Clear,19.1,19
512,P002,2023-09-14,Clear,10.4,8
513,P002,2023-09-17,Fog,18.8,2
514,P002,2023-09-20,Clear,14.9,15
515,P002,2023-09-23,Clear,23.1,11
516,P002,2023-09-26,Rain,19.3,13
517,P002,2023-09-29,Cloudy,21.4,20
518,P002,2023-10-02,Clear,11.4,6
519,P002,2023-10-05,Storm,78.7,1
520,P002,2023-10-08,Fog,10.4,2
521,P002,2023-10-11,Storm,50.7,2
522,P002,2023-10-14,Thunderstorm,87.6,4
523,P002,2023-10-17,Clear,24.1,7
524,P002,2023-10-20,Clear,13.2,7
525,P002,2023-10-23,Clear,26.4,18
526,P002,2023-10-26,Cloudy,25.1,13
527,P002,2023-10-29,Clear,6.6,18
528,P002,2023-11-01,Clear,27.6,10
529,P002,2023-11-04,Clear,33.3,20
530,P002,2023-11-07,Cloudy,25.7,10
531,P002,2023-11-10,Storm,61.8,5
532,P002,2023-11-13,Clear,5.3,11
533,P002,2023-11-16,Clear,25.0,9
534,P002,2023-11-19,Clear,34.6,15
535,P002,2023-11-22,Clear,31.9,9
536,P002,2023-11-25,Cloudy,14.5,18
537,P002,2023-11-28,Clear,26.7,19
538,P002,2023-12-01,Fog,17.9,3
539,P002,2023-12-04,Cloudy,34.1,8
540,P002,2023-12-07,Clear,27.4,11
541,P002,2023-12-10,Cloudy,21.4,10
542,P002,2023-12-13,Cloudy,11.5,11
543,P002,2023-12-16,Fog,19.6,3
544,P002,2023-12-19,Fog,10.6,2
545,P002,2023-12-22,Clear,31.9,8
546,P002,2023-12-25,Rain,24.5,19
547,P002,2023-12-28,Cloudy,15.6,18
548,P002,2023-12-31,Cloudy,28.0,8
549,P002,2024-01-03,Fog,11.9,2
550,P002,2024-01-06,Clear,22.8,18
551,P002,2024-01-09,Clear,30.4,18
552,P002,2024-01-12,Cloudy,26.1,8
553,P002,2024-01-15,Storm,80.3,1
554,P002,2024-01-18,Clear,5.5,18
555,P002,2024-01-21,Clear,27.5,8
556,P002,2024-01-24,Cloudy,20.1,6
557,P002,2024-01-27,Rain,30.6,11
558,P002,2024-01-30,Clear,18.6,17
559,P002,2024-02-02,Clear,30.7,8
560,P002,2024-02-05,Clear,28.8,19
561,P002,2024-02-08,Cloudy,29.6,17
562,P002,2024-02-11,Clear,16.2,12
563,P002,2024-02-14,Cloudy,13.0,13
564,P002,2024-02-17,Clear,32.1,18
565,P002,2024-02-20,Rain,5.1,18
566,P002,2024-02-23,Clear,5.8,16
567,P002,2024-02-26,Thunderstorm,65.9,5
568,P002,2024-02-29,Clear,10.1,18
569,P002,2024-03-03,Clear,34.2,11
570,P002,2024-03-06,Cloudy,16.8,6
571,P002,2024-03-09,Rain,22.3,9
572,P002,2024-03-12,Fog,10.9,3
573,P002,2024-03-15,Clear,32.1,10
574,P002,2024-03-18,Cloudy,8.0,9
575,P002,2024-03-21,Cloudy,23.9,17
576,P002,2024-03-24,Thunderstorm,71.4,3
577,P002,2024-03-27,Thunderstorm,48.0,3
578,P002,2024-03-30,Clear,7.8,18
579,P002,2024-04-02,Clear,28.1,9
580,P002,2024-04-05,Clear,26.2,7
581,P002,2024-04-08,Cloudy,5.8,9
582,P002,2024-04-11,Storm,71.7,3
583,P002,2024-04-14,Clear,24.6,12
584,P002,2024-04-17,Clear,21.1,12
585,P002,2024-04-20,Rain,29.2,17
586,P002,2024-04-23,Rain,24.8,13
587,P002,2024-04-26,Clear,9.3,5
588,P002,2024-04-29,Cloudy,22.4,8
589,P002,2024-05-02,Clear,32.8,8
590,P002,2024-05-05,Clear,13.5,10
591,P002,2024-05-08,Clear,19.8,16
592,P002,2024-05-11,Fog,8.1,1
593,P002,2024-05-14,Cloudy,5.7,7
594,P002,2024-05-17,Cloudy,23.8,11
595,P002,2024-05-20,Rain,16.3,15
596,P002,2024-05-23,Cloudy,18.5,10
597,P002,2024-05-26,Clear,5.3,10
598,P002,2024-05-29,Rain,23.9,6
599,P002,2024-06-01,Clear,15.3,16
600,P002,2024-06-04,Cloudy,23.4,5
601,P002,2024-06-07,Clear,27.3,8
602,P002,2024-06-10,Clear,5.9,5
603,P002,2024-06-13,Cloudy,27.8,11
604,P002,2024-06-16,Thunderstorm,45.7,2
605,P002,2024-06-19,Clear,9.2,7
606,P002,2024-06-22,Rain,33.2,13
607,P002,2024-06-25,Clear,11.0,7
608,P002,2024-06-28,Clear,21.5,14
609,P003,2022-01-01,Cloudy,29.3,18
610,P003,2022-01-04,Cloudy,17.0,11
611,P003,2022-01-07,Clear,10.9,13
612,P003,2022-01-10,Storm,45.1,5
613,P003,2022-01-13,Clear,28.8,20
614,P003,2022-01-16,Cloudy,18.4,13
615,P003,2022-01-19,Rain,23.7,17
