shipment_id,origin_port_id,destination_port_id,carrier_id,departure_date,scheduled_arrival,actual_arrival,cost_usd,status,delay_days,is_on_time,transit_days,departure_month,departure_year
SHP00078,P005,P007,C005,2024-06-20,2024-07-02,2024-07-02,1662.21,In Transit,0.0,True,12.0,2024-06,2024
SHP00079,P004,P002,C004,2024-01-08,2024-01-28,2024-01-28,3839.49,Delivered,0.0,True,20.0,2024-01,2024
SHP00080,P001,P003,C005,2022-08-15,2022-09-10,2022-09-10,4214.39,Delivered,0.0,True,26.0,2022-08,2022
SHP00081,P008,P010,C009,2022-12-19,2023-01-12,2023-01-12,4483.83,Delivered,0.0,True,24.0,2022-12,2022
SHP00082,P004,P002,C004,2022-11-20,2022-12-05,2022-12-05,4930.06,Delivered,0.0,True,15.0,2022-11,2022
SHP00083,P004,P005,C008,2022-10-11,2022-11-06,2022-11-06,6330.02,Delivered,0.0,True,26.0,2022-10,2022
SHP00084,P005,P001,C009,2022-05-10,2022-05-20,2022-05-24,1197.22,Delayed,4.0,False,14.0,2022-05,2022
SHP00085,P003,P012,C008,2022-04-16,2022-05-02,2022-05-07,1904.02,Delayed,5.0,False,21.0,2022-04,2022
SHP00086,P005,P009,C002,2024-04-21,2024-05-10,2024-05-10,3706.85,In Transit,0.0,True,19.0,2024-04,2024
SHP00087,P010,P005,C002,2022-09-12,2022-09-23,2022-09-23,1963.87,Delivered,0.0,True,11.0,2022-09,2022
SHP00088,P007,P009,C008,2022-11-01,2022-11-21,2022-11-21,3612.12,Delivered,0.0,True,20.0,2022-11,2022
SHP00089,P012,P002,C004,2023-10-03,2023-10-20,2023-10-20,2783.75,Delivered,0.0,True,17.0,2023-10,2023
SHP00090,P007,P009,C010,2023-04-27,2023-05-15,2023-05-16,3741.7,Delayed,1.0,False,19.0,2023-04,2023
SHP00091,P008,P002,C004,2022-09-28,2022-10-28,2022-10-28,6070.86,Delivered,0.0,True,30.0,2022-09,2022
SHP00092,P003,P006,C003,2022-03-15,2022-03-25,2022-03-25,2571.47,Delivered,0.0,True,10.0,2022-03,2022
SHP00093,P010,P005,C008,2022-05-08,2022-05-25,2022-05-25,3531.07,Delivered,0.0,True,17.0,2022-05,2022
SHP00094,P002,P011,C001,2024-06-29,2024-07-15,2024-07-15,2649.19,In Transit,0.0,True,16.0,2024-06,2024
SHP00095,P011,P010,C010,2022-01-22,2022-02-01,2022-02-01,1339.33,Delivered,0.0,True,10.0,2022-01,2022
SHP00096,P008,P005,C003,2023-08-23,2023-09-03,2023-09-03,1777.02,Delivered,0.0,True,11.0,2023-08,2023
SHP00097,P006,P008,C006,2022-11-25,2022-12-15,2022-12-15,1706.34,Delivered,0.0,True,20.0,2022-11,2022
SHP00098,P007,P010,C001,2023-04-11,2023-04-16,2023-04-16,1524.66,Delivered,0.0,True,5.0,2023-04,2023
SHP00099,P007,P010,C001,2023-11-05,2023-11-14,2023-11-14,400.0,Delivered,0.0,True,9.0,2023-11,2023
SHP00100,P008,P001,C004,2022-10-01,2022-10-29,2022-11-11,4431.54,Delayed,13.0,False,41.0,2022-10,2022
SHP00101,P008,P002,C001,2023-10-08,2023-11-06,2023-11-06,6003.48,Delivered,0.0,True,29.0,2023-10,2023
SHP00102,P004,P002,C008,2022-05-01,2022-05-17,2022-05-17,4284.11,Delivered,0.0,True,16.0,2022-05,2022
SHP00103,P005,P008,C008,2023-04-29,2023-05-08,2023-05-08,1963.89,Delivered,0.0,True,9.0,2023-04,2023
SHP00104,P003,P002,C005,2024-03-02,2024-03-28,2024-03-28,6992.7,Delivered,0.0,True,26.0,2024-03,2024
SHP00105,P001,P006,C005,2024-05-07,2024-06-05,2024-06-05,6331.16,Delivered,0.0,True,29.0,2024-05,2024
SHP00106,P009,P010,C007,2023-04-12,2023-04-27,2023-04-27,2943.41,Delivered,0.0,True,15.0,2023-04,2023
SHP00107,P007,P004,C007,2022-02-14,2022-03-05,2022-03-05,4306.65,Delivered,0.0,True,19.0,2022-02,2022
SHP00108,P011,P003,C008,2022-02-07,2022-03-01,2022-03-01,5173.09,Delivered,0.0,True,22.0,2022-02,2022
SHP00109,P008,P002,C009,2023-04-13,2023-05-03,2023-05-03,4774.79,Delivered,0.0,True,20.0,2023-04,2023
SHP00110,P005,P007,C010,2023-12-11,2023-12-22,2023-12-22,2173.88,Delivered,0.0,True,11.0,2023-12,2023
SHP00111,P009,P007,C006,2023-10-04,2023-10-25,2023-10-25,3460.24,Delivered,0.0,True,21.0,2023-10,2023
SHP00112,P004,P002,C007,2022-04-11,2022-04-26,2022-04-26,4391.86,Delivered,0.0,True,15.0,2022-04,2022
SHP00113,P001,P007,C001,2022-10-28,2022-11-12,2022-11-12,1530.48,Delivered,0.0,True,15.0,2022-10,2022
SHP00114,P003,P004,C002,2023-09-17,2023-10-03,2023-10-03,2807.11,Delivered,0.0,True,16.0,2023-09,2023
SHP00115,P010,P003,C004,2023-04-18,2023-05-10,2023-05-10,5488.87,Delivered,0.0,True,22.0,2023-04,2023
SHP00116,P009,P003,C002,2023-03-29,2023-04-10,2023-04-10,2028.89,Delivered,0.0,True,12.0,2023-03,2023
SHP00117,P012,P005,C008,2024-05-15,2024-06-06,2024-06-06,4146.61,Delivered,0.0,True,22.0,2024-05,2024
SHP00118,P012,P005,C001,2024-04-29,2024-05-23,2024-05-23,5078.18,In Transit,0.0,True,24.0,2024-04,2024
SHP00119,P012,P008,C005,2024-03-05,2024-03-21,2024-03-21,3266.12,Delivered,0.0,True,16.0,2024-03,2024
SHP00120,P012,P011,C003,2023-10-06,2023-10-21,2023-10-21,4287.18,Delivered,0.0,True,15.0,2023-10,2023
SHP00121,P008,P001,C010,2023-01-09,2023-01-31,2023-02-07,4456.8,Delayed,7.0,False,29.0,2023-01,2023
SHP00122,P009,P006,C009,2023-05-29,2023-06-10,2023-06-10,1935.42,Delivered,0.0,True,12.0,2023-05,2023
SHP00123,P008,P005,C006,2024-04-03,2024-04-11,2024-04-11,1667.8,Delivered,0.0,True,8.0,2024-04,2024
SHP00124,P009,P006,C002,2024-03-20,2024-04-02,2024-04-03,2357.05,Delayed,1.0,False,14.0,2024-03,2024
SHP00125,P011,P012,C005,2023-08-22,2023-09-11,2023-09-11,5065.4,Delivered,0.0,True,20.0,2023-08,2023
SHP00126,P009,P006,C010,2022-08-15,2022-08-30,2022-08-31,3206.7,Delayed,1.0,False,16.0,2022-08,2022
SHP00127,P005,P012,C007,2022-04-30,2022-05-20,2022-05-21,3768.81,Delayed,1.0,False,21.0,2022-04,2022
SHP00128,P009,P003,C007,2023-04-10,2023-04-22,2023-04-22,2993.1,Delivered,0.0,True,12.0,2023-04,2023
SHP00129,P007,P011,C003,2024-06-25,2024-07-11,2024-07-11,2225.62,Delivered,0.0,True,16.0,2024-06,2024
SHP00130,P006,P004,C008,2023-04-01,2023-04-12,2023-04-12,1292.92,Delivered,0.0,True,11.0,2023-04,2023
SHP00131,P009,P012,C006,2022-03-04,2022-03-20,2022-03-20,4318.03,Delivered,0.0,True,16.0,2022-03,2022
SHP00132,P004,P012,C010,2022-01-22,2022-02-01,2022-02-01,1864.52,Delivered,0.0,True,10.0,2022-01,2022
SHP00133,P010,P004,C002,2024-04-29,2024-05-17,2024-05-17,2541.76,In Transit,0.0,True,18.0,2024-04,2024
SHP00134,P010,P001,C005,2024-05-29,2024-06-04,2024-06-04,1074.95,In Transit,0.0,True,6.0,2024-05,2024
SHP00135,P001,P004,C001,2023-01-02,2023-01-19,2023-01-19,2729.91,Delivered,0.0,True,17.0,2023-01,2023
SHP00136,P002,P003,C008,2023-04-05,2023-04-30,2023-04-30,4445.65,Delivered,0.0,True,25.0,2023-04,2023
SHP00137,P010,P001,C009,2022-11-05,2022-11-13,2022-11-13,1927.99,Delivered,0.0,True,8.0,2022-11,2022
SHP00138,P002,P009,C008,2022-03-17,2022-04-01,2022-04-01,3004.5,Delivered,0.0,True,15.0,2022-03,2022
SHP00139,P010,P012,C010,2023-07-16,2023-07-31,2023-07-31,2492.24,Delivered,0.0,True,15.0,2023-07,2023
SHP00140,P012,P002,C009,2024-01-09,2024-01-26,2024-01-26,5001.06,Delivered,0.0,True,17.0,2024-01,2024
SHP00141,P008,P007,C007,2024-01-18,2024-02-08,2024-02-08,4687.61,Delivered,0.0,True,21.0,2024-01,2024
SHP00142,P008,P002,C002,2024-05-01,2024-05-22,2024-05-24,5356.51,Delivered,2.0,False,23.0,2024-05,2024
SHP00143,P009,P001,C010,2023-07-30,2023-08-21,2023-08-21,2333.38,Delivered,0.0,True,22.0,2023-07,2023
SHP00144,P012,P001,C005,2023-09-07,2023-09-25,2023-09-25,4591.92,Delivered,0.0,True,18.0,2023-09,2023
SHP00145,P011,P008,C004,2024-05-17,2024-06-07,2024-06-07,5584.6,In Transit,0.0,True,21.0,2024-05,2024
SHP00146,P009,P011,C010,2023-11-23,2023-12-15,2023-12-18,4642.72,Delayed,3.0,False,25.0,2023-11,2023
SHP00147,P005,P001,C003,2022-10-07,2022-10-20,2022-10-20,2403.19,Delivered,0.0,True,13.0,2022-10,2022
SHP00148,P011,P007,C002,2022-05-26,2022-06-15,2022-06-15,2306.62,Delivered,0.0,True,20.0,2022-05,2022
SHP00149,P007,P008,C008,2022-12-16,2023-01-07,2023-01-07,6133.79,Delivered,0.0,True,22.0,2022-12,2022
SHP00150,P001,P004,C003,2024-02-12,2024-02-26,2024-02-26,2561.61,Delivered,0.0,True,14.0,2024-02,2024
SHP00151,P008,P011,C008,2023-03-01,2023-03-25,2023-03-25,5260.58,Delivered,0.0,True,24.0,2023-03,2023
SHP00152,P010,P008,C009,2023-11-15,2023-12-07,2023-12-09,4605.86,Delayed,2.0,False,24.0,2023-11,2023
SHP00153,P001,P005,C005,2022-08-05,2022-08-19,2022-08-19,1862.53,Delivered,0.0,True,14.0,2022-08,2022
SHP00154,P003,P004,C007,2023-06-30,2023-07-15,2023-07-15,2781.75,Delivered,0.0,True,15.0,2023-06,2023
SHP00155,P006,P002,C007,2024-06-01,2024-06-21,2024-06-21,5543.48,Delivered,0.0,True,20.0,2024-06,2024
SHP00156,P012,P011,C007,2022-10-24,2022-11-08,2022-11-08,4864.55,Delivered,0.0,True,15.0,2022-10,2022
SHP00157,P010,P008,C006,2022-04-01,2022-04-25,2022-04-25,3675.57,Delivered,0.0,True,24.0,2022-04,2022
SHP00158,P005,P007,C004,2022-12-08,2022-12-22,2022-12-24,1737.25,Delayed,2.0,False,16.0,2022-12,2022
SHP00159,P009,P004,C006,2022-12-26,2023-01-15,2023-01-15,2519.06,Delivered,0.0,True,20.0,2022-12,2022
SHP00160,P011,P002,C003,2024-03-02,2024-03-22,2024-03-22,3257.06,Delivered,0.0,True,20.0,2024-03,2024
SHP00161,P008,P012,C010,2023-10-21,2023-11-05,2023-11-05,2699.17,Delivered,0.0,True,15.0,2023-10,2023
SHP00162,P008,P009,C005,2024-03-26,2024-04-07,2024-04-07,2433.76,Delivered,0.0,True,12.0,2024-03,2024
SHP00163,P008,P009,C001,2022-02-28,2022-03-12,2022-03-12,2706.68,Delivered,0.0,True,12.0,2022-02,2022
SHP00164,P009,P007,C008,2023-08-18,2023-09-09,2023-09-09,3513.5,Delivered,0.0,True,22.0,2023-08,2023
SHP00165,P010,P012,C004,2022-11-26,2022-12-15,2022-12-15,2275.76,Delivered,0.0,True,19.0,2022-11,2022
SHP00166,P006,P002,C009,2023-10-24,2023-11-15,2023-11-19,5893.19,Delayed,4.0,False,26.0,2023-10,2023
SHP00167,P009,P010,C010,2022-06-12,2022-06-27,2022-06-27,1831.81,Delivered,0.0,True,15.0,2022-06,2022
SHP00168,P011,P012,C006,2022-03-09,2022-03-28,2022-03-28,4434.85,Delivered,0.0,True,19.0,2022-03,2022
SHP00169,P012,P011,C010,2024-06-13,2024-06-29,2024-06-29,3983.98,Delivered,0.0,True,16.0,2024-06,2024
SHP00170,P012,P002,C005,2023-07-27,2023-08-16,2023-08-16,3827.66,Delivered,0.0,True,20.0,2023-07,2023
SHP00171,P012,P011,C009,2022-04-06,2022-04-26,2022-04-26,2213.8,Delivered,0.0,True,20.0,2022-04,2022
SHP00172,P008,P004,C004,2022-05-21,2022-06-01,2022-06-02,4199.38,Delayed,1.0,False,12.0,2022-05,2022
SHP00173,P009,P010,C001,2023-11-09,2023-11-24,2023-11-24,2641.4,Delivered,0.0,True,15.0,2023-11,2023
SHP00174,P012,P010,C003,2024-01-09,2024-01-26,2024-01-28,2254.86,Delayed,2.0,False,19.0,2024-01,2024
SHP00175,P008,P011,C005,2024-02-10,2024-03-08,2024-03-08,5535.02,Delivered,0.0,True,27.0,2024-02,2024
SHP00176,P004,P007,C010,2023-03-28,2023-04-18,2023-04-18,3889.63,Delivered,0.0,True,21.0,2023-03,2023
SHP00177,P007,P003,C004,2024-03-31,2024-04-29,2024-05-01,3760.18,Delayed,2.0,False,31.0,2024-03,2024
SHP00178,P002,P010,C002,2022-10-19,2022-10-24,2022-10-24,400.0,Delivered,0.0,True,5.0,2022-10,2022
SHP00179,P003,P008,C002,2022-08-16,2022-09-02,2022-09-02,2868.91,Delivered,0.0,True,17.0,2022-08,2022
SHP00180,P007,P002,C006,2022-08-18,2022-08-28,2022-08-28,2365.38,Delivered,0.0,True,10.0,2022-08,2022
SHP00181,P006,P003,C003,2022-02-09,2022-02-23,2022-02-23,2990.99,Delivered,0.0,True,14.0,2022-02,2022
SHP00182,P010,P001,C002,2022-01-20,2022-01-27,2022-01-27,400.0,Delivered,0.0,True,7.0,2022-01,2022
SHP00183,P010,P009,C007,2022-04-24,2022-05-08,2022-05-08,2132.74,Delivered,0.0,True,14.0,2022-04,2022
SHP00184,P002,P003,C008,2023-09-04,2023-10-02,2023-10-05,6117.97,Delayed,3.0,False,31.0,2023-09,2023
SHP00185,P003,P006,C007,2022-01-02,2022-01-21,2022-01-21,3029.5,Delivered,0.0,True,19.0,2022-01,2022
SHP00186,P006,P002,C009,2023-07-12,2023-08-09,2023-08-09,5908.05,Delivered,0.0,True,28.0,2023-07,2023
SHP00187,P008,P001,C007,2023-01-18,2023-02-11,2023-02-11,5195.92,Delivered,0.0,True,24.0,2023-01,2023
SHP00188,P002,P011,C006,2022-05-17,2022-05-27,2022-05-27,2627.05,Delivered,0.0,True,10.0,2022-05,2022
SHP00189,P011,P008,C008,2023-10-09,2023-10-31,2023-10-31,4139.21,Delivered,0.0,True,22.0,2023-10,2023
SHP00190,P001,P005,C001,2022-11-20,2022-11-30,2022-11-30,2205.99,Delivered,0.0,True,10.0,2022-11,2022
SHP00191,P005,P001,C004,2022-10-20,2022-10-30,2022-10-30,1306.38,Delivered,0.0,True,10.0,2022-10,2022
SHP00192,P007,P008,C008,2023-01-31,2023-02-25,2023-02-25,5017.19,Delivered,0.0,True,25.0,2023-01,2023
SHP00193,P009,P005,C002,2024-01-15,2024-02-08,2024-02-14,5338.38,Delayed,6.0,False,30.0,2024-01,2024
SHP00194,P002,P007,C005,2022-11-10,2022-11-27,2022-11-27,2062.49,Delivered,0.0,True,17.0,2022-11,2022
SHP00195,P006,P009,C001,2024-01-15,2024-01-31,2024-01-31,2218.3,Delivered,0.0,True,16.0,2024-01,2024
SHP00196,P001,P003,C007,2023-01-08,2023-02-05,2023-02-05,6094.37,Delivered,0.0,True,28.0,2023-01,2023
SHP00197,P003,P011,C008,2022-02-05,2022-02-27,2022-02-28,5868.06,Delayed,1.0,False,23.0,2022-02,2022
SHP00198,P010,P003,C008,2023-01-15,2023-02-07,2023-02-07,4046.75,Delivered,0.0,True,23.0,2023-01,2023
SHP00199,P006,P008,C006,2023-10-28,2023-11-11,2023-11-11,2078.36,Delivered,0.0,True,14.0,2023-10,2023
SHP00200,P009,P002,C005,2024-03-04,2024-03-22,2024-03-22,2637.34,Delivered,0.0,True,18.0,2024-03,2024
SHP00201,P012,P008,C004,2022-05-06,2022-05-17,2022-05-17,2927.62,Delivered,0.0,True,11.0,2022-05,2022
SHP00202,P011,P006,C006,2023-12-28,2024-01-18,2024-01-18,4478.75,Delivered,0.0,True,21.0,2023-12,2023
SHP00203,P003,P012,C003,2024-03-23,2024-04-04,2024-04-04,2147.35,Delivered,0.0,True,12.0,2024-03,2024
SHP00204,P001,P007,C009,2023-08-10,2023-08-25,2023-08-25,3563.82,Delivered,0.0,True,15.0,2023-08,2023
SHP00205,P002,P003,C005,2023-02-12,2023-03-11,2023-03-11,6393.04,Delivered,0.0,True,27.0,2023-02,2023
SHP00206,P011,P002,C008,2023-04-23,2023-05-13,2023-05-13,1946.9,Delivered,0.0,True,20.0,2023-04,2023
SHP00207,P009,P012,C010,2022-07-06,2022-07-18,2022-07-18,3341.61,Delivered,0.0,True,12.0,2022-07,2022
SHP00208,P003,P004,C006,2023-12-28,2024-01-08,2024-01-08,3479.43,Delivered,0.0,True,11.0,2023-12,2023
SHP00209,P002,P006,C004,2023-10-13,2023-11-10,2023-11-10,5311.82,Delivered,0.0,True,28.0,2023-10,2023
SHP00210,P010,P011,C003,2022-06-25,2022-07-05,2022-07-05,1459.05,Delivered,0.0,True,10.0,2022-06,2022
SHP00211,P010,P001,C001,2022-03-25,2022-03-30,2022-03-30,1523.26,Delivered,0.0,True,5.0,2022-03,2022
SHP00212,P010,P012,C001,2023-05-25,2023-06-14,2023-06-14,3257.16,Delivered,0.0,True,20.0,2023-05,2023
SHP00213,P004,P012,C007,2022-11-01,2022-11-18,2022-11-21,1454.92,Delayed,3.0,False,20.0,2022-11,2022
SHP00214,P010,P003,C006,2024-06-01,2024-06-24,2024-06-24,6098.3,Delivered,0.0,True,23.0,2024-06,2024
SHP00215,P006,P010,C009,2022-04-19,2022-05-12,2022-05-12,3428.87,Delivered,0.0,True,23.0,2022-04,2022
SHP00216,P007,P011,C007,2022-09-12,2022-09-24,2022-09-24,3367.07,Delivered,0.0,True,12.0,2022-09,2022
