weather_id,port_id,weather_date,condition,wind_speed_kmh,visibility_km,weather_severity
44,P001,2022-05-10,Cloudy,10.4,18,0
45,P001,2022-05-13,Cloudy,32.3,10,0
46,P001,2022-05-16,Rain,7.9,6,1
47,P001,2022-05-19,Clear,31.1,13,0
48,P001,2022-05-22,Thunderstorm,66.9,1,2
49,P001,2022-05-25,Rain,26.7,11,1
50,P001,2022-05-28,Fog,11.2,3,1
51,P001,2022-05-31,Clear,16.1,8,0
52,P001,2022-06-03,Cloudy,28.4,18,0
53,P001,2022-06-06,Cloudy,12.6,6,0
54,P001,2022-06-09,Cloudy,7.2,19,0
55,P001,2022-06-12,Clear,27.4,11,0
56,P001,2022-06-15,Clear,5.3,8,0
57,P001,2022-06-18,Rain,9.1,19,1
58,P001,2022-06-21,Cloudy,7.0,12,0
59,P001,2022-06-24,Rain,18.1,20,1
60,P001,2022-06-27,Rain,30.2,10,1
61,P001,2022-06-30,Thunderstorm,70.3,2,2
62,P001,2022-07-03,Clear,21.0,17,0
63,P001,2022-07-06,Clear,25.1,5,0
64,P001,2022-07-09,Rain,9.6,16,1
65,P001,2022-07-12,Clear,26.4,11,0
66,P001,2022-07-15,Cloudy,6.4,8,0
67,P001,2022-07-18,Clear,14.2,6,0
68,P001,2022-07-21,Cloudy,6.5,17,0
69,P001,2022-07-24,Rain,32.9,16,1
70,P001,2022-07-27,Fog,8.0,1,1
71,P001,2022-07-30,Cloudy,34.7,15,0
72,P001,2022-08-02,Rain,25.4,7,1
73,P001,2022-08-05,Clear,31.5,10,0
74,P001,2022-08-08,Rain,6.3,8,1
75,P001,2022-08-11,Rain,14.7,11,1
76,P001,2022-08-14,Cloudy,33.0,17,0
77,P001,2022-08-17,Fog,6.8,1,1
78,P001,2022-08-20,Clear,14.7,5,0
79,P001,2022-08-23,Cloudy,14.5,17,0
80,P001,2022-08-26,Clear,11.6,13,0
81,P001,2022-08-29,Cloudy,16.1,7,0
82,P001,2022-09-01,Thunderstorm,60.6,5,2
83,P001,2022-09-04,Cloudy,34.7,10,0
84,P001,2022-09-07,Clear,7.8,15,0
85,P001,2022-09-10,Storm,74.8,2,3
86,P001,2022-09-13,Clear,24.1,15,0
87,P001,2022-09-16,Storm,73.3,1,3
88,P001,2022-09-19,Clear,23.3,19,0
89,P001,2022-09-22,Clear,24.2,12,0
90,P001,2022-09-25,Cloudy,26.1,5,0
91,P001,2022-09-28,Clear,23.5,8,0
92,P001,2022-10-01,Clear,27.1,12,0
93,P001,2022-10-04,Cloudy,6.8,16,0
94,P001,2022-10-07,Cloudy,11.1,17,0
95,P001,2022-10-10,Clear,6.1,19,0
96,P001,2022-10-13,Rain,14.9,13,1
97,P001,2022-10-16,Clear,28.6,6,0
98,P001,2022-10-19,Cloudy,34.3,14,0
99,P001,2022-10-22,Rain,11.9,15,1
100,P001,2022-10-25,Clear,11.2,6,0
101,P001,2022-10-28,Fog,15.0,1,1
102,P001,2022-10-31,Rain,25.9,12,1
103,P001,2022-11-03,Cloudy,16.4,15,0
104,P001,2022-11-06,Clear,23.9,7,0
105,P001,2022-11-09,Thunderstorm,43.5,2,2
106,P001,2022-11-12,Clear,34.8,11,0
107,P001,2022-11-15,Clear,10.2,11,0
108,P001,2022-11-18,Clear,7.3,19,0
109,P001,2022-11-21,Clear,26.7,12,0
110,P001,2022-11-24,Cloudy,23.2,14,0
111,P001,2022-11-27,Clear,18.4,11,0
112,P001,2022-11-30,Clear,28.4,7,0
113,P001,2022-12-03,Fog,10.4,2,1
114,P001,2022-12-06,Clear,18.2,18,0
115,P001,2022-12-09,Rain,29.6,20,1
116,P001,2022-12-12,Clear,16.4,7,0
117,P001,2022-12-15,Rain,32.6,9,1
118,P001,2022-12-18,Cloudy,10.3,17,0
119,P001,2022-12-21,Cloudy,18.6,17,0
120,P001,2022-12-24,Cloudy,19.4,15,0
121,P001,2022-12-27,Clear,19.1,9,0
122,P001,2022-12-30,Fog,5.1,3,1
123,P001,2023-01-02,Rain,16.2,17,1
124,P001,2023-01-05,Fog,19.1,3,1
125,P001,2023-01-08,Clear,19.7,7,0
126,P001,2023-01-11,Cloudy,6.2,8,0
127,P001,2023-01-14,Clear,22.0,11,0
128,P001,2023-01-17,Rain,33.7,16,1
129,P001,2023-01-20,Cloudy,19.7,16,0
130,P001,2023-01-23,Rain,24.5,18,1
131,P001,2023-01-26,Rain,12.3,6,1
132,P001,2023-01-29,Fog,10.4,3,1
133,P001,2023-02-01,Rain,25.9,9,1
134,P001,2023-02-04,Clear,18.7,9,0
135,P001,2023-02-07,Clear,23.1,10,0
136,P001,2023-02-10,Clear,28.1,17,0
137,P001,2023-02-13,Clear,22.6,7,0
138,P001,2023-02-16,Cloudy,10.7,18,0
139,P001,2023-02-19,Clear,17.8,14,0
140,P001,2023-02-22,Cloudy,21.0,17,0
141,P001,2023-02-25,Cloudy,27.0,7,0
142,P001,2023-02-28,Clear,22.2,16,0
143,P001,2023-03-03,Rain,13.1,11,1
144,P001,2023-03-06,Fog,11.0,2,1
145,P001,2023-03-09,Clear,10.1,20,0
146,P001,2023-03-12,Clear,7.1,18,0
147,P001,2023-03-15,Cloudy,24.6,18,0
148,P001,2023-03-18,Clear,16.2,9,0
149,P001,2023-03-21,Clear,10.5,8,0
150,P001,2023-03-24,Cloudy,29.4,10,0
151,P001,2023-03-27,Clear,27.5,11,0
152,P001,2023-03-30,Clear,32.1,18,0
153,P001,2023-04-02,Cloudy,32.4,8,0
154,P001,2023-04-05,Thunderstorm,48.3,3,2
155,P001,2023-04-08,Clear,8.7,7,0
156,P001,2023-04-11,Clear,22.6,20,0
157,P001,2023-04-14,Cloudy,27.8,5,0
158,P001,2023-04-17,Clear,27.6,5,0
159,P001,2023-04-20,Rain,28.7,6,1
160,P001,2023-04-23,Clear,20.7,5,0
161,P001,2023-04-26,Clear,20.6,13,0
162,P001,2023-04-29,Fog,12.1,2,1
163,P001,2023-05-02,Cloudy,15.1,15,0
164,P001,2023-05-05,Storm,80.8,3,3
165,P001,2023-05-08,Rain,16.4,6,1
166,P001,2023-05-11,Storm,83.7,1,3
167,P001,2023-05-14,Clear,31.1,17,0
168,P001,2023-05-17,Rain,31.6,9,1
169,P001,2023-05-20,Clear,8.7,13,0
170,P001,2023-05-23,Fog,16.3,1,1
171,P001,2023-05-26,Clear,23.6,20,0
172,P001,2023-05-29,Cloudy,24.8,5,0
173,P001,2023-06-01,Storm,87.9,3,3
174,P001,2023-06-04,Clear,15.8,6,0
175,P001,2023-06-07,Storm,76.8,4,3
176,P001,2023-06-10,Clear,19.5,7,0
177,P001,2023-06-13,Clear,33.2,20,0
178,P001,2023-06-16,Storm,82.9,1,3
179,P001,2023-06-19,Rain,13.8,11,1
180,P001,2023-06-22,Rain,31.1,6,1
181,P001,2023-06-25,Clear,28.9,14,0
182,P001,2023-06-28,Thunderstorm,89.8,4,2
183,P001,2023-07-01,Clear,18.4,8,0
184,P001,2023-07-04,Cloudy,21.2,12,0
185,P001,2023-07-07,Clear,27.6,7,0
186,P001,2023-07-10,Clear,34.8,5,0
187,P001,2023-07-13,Clear,32.9,17,0
188,P001,2023-07-16,Rain,11.6,13,1
189,P001,2023-07-19,Rain,33.5,8,1
190,P001,2023-07-22,Rain,32.7,20,1
191,P001,2023-07-25,Clear,25.8,12,0
192,P001,2023-07-28,Fog,16.5,3,1
193,P001,2023-07-31,Clear,15.3,17,0
194,P001,2023-08-03,Rain,28.6,18,1
195,P001,2023-08-06,Rain,11.7,8,1
196,P001,2023-08-09,Clear,8.3,15,0
197,P001,2023-08-12,Rain,33.1,8,1
198,P001,2023-08-15,Cloudy,8.8,15,0
199,P001,2023-08-18,Fog,13.7,1,1
200,P001,2023-08-21,Clear,22.7,11,0
201,P001,2023-08-24,Thunderstorm,89.0,3,2
202,P001,2023-08-27,Rain,28.9,9,1
203,P001,2023-08-30,Cloudy,23.0,12,0
204,P001,2023-09-02,Clear,5.3,19,0
205,P001,2023-09-05,Clear,29.5,14,0
206,P001,2023-09-08,Thunderstorm,65.0,4,2
207,P001,2023-09-11,Clear,13.5,6,0
208,P001,2023-09-14,Cloudy,14.3,8,0
209,P001,2023-09-17,Clear,30.4,20,0
210,P001,2023-09-20,Cloudy,11.5,14,0
211,P001,2023-09-23,Rain,16.3,15,1
212,P001,2023-09-26,Clear,26.5,12,0
213,P001,2023-09-29,Rain,6.6,10,1
214,P001,2023-10-02,Thunderstorm,76.4,3,2
215,P001,2023-10-05,Storm,73.0,2,3
216,P001,2023-10-08,Storm,67.4,3,3
217,P001,2023-10-11,Cloudy,19.2,16,0
218,P001,2023-10-14,Rain,16.7,14,1
219,P001,2023-10-17,Clear,32.7,17,0
220,P001,2023-10-20,Clear,14.7,6,0
221,P001,2023-10-23,Thunderstorm,75.5,4,2
222,P001,2023-10-26,Rain,22.3,19,1
223,P001,2023-10-29,Rain,13.7,9,1
224,P001,2023-11-01,Clear,29.1,11,0
225,P001,2023-11-04,Rain,5.3,8,1
226,P001,2023-11-07,Rain,34.7,9,1
227,P001,2023-11-10,Clear,34.5,10,0
228,P001,2023-11-13,Fog,6.4,2,1
229,P001,2023-11-16,Clear,6.6,15,0
230,P001,2023-11-19,Cloudy,34.1,17,0
231,P001,2023-11-22,Clear,8.6,17,0
232,P001,2023-11-25,Cloudy,25.6,10,0
233,P001,2023-11-28,Rain,16.3,7,1
234,P001,2023-12-01,Rain,30.9,17,1
235,P001,2023-12-04,Clear,24.6,16,0
236,P001,2023-12-07,Clear,8.5,8,0
237,P001,2023-12-10,Cloudy,25.1,12,0
238,P001,2023-12-13,Clear,22.2,20,0
239,P001,2023-12-16,Clear,27.4,10,0
240,P001,2023-12-19,Clear,35.0,18,0
241,P001,2023-12-22,Clear,8.8,15,0
242,P001,2023-12-25,Clear,32.3,10,0
243,P001,2023-12-28,Cloudy,26.0,17,0
244,P001,2023-12-31,Cloudy,21.1,20,0
245,P001,2024-01-03,Clear,30.1,8,0
246,P001,2024-01-06,Rain,11.2,8,1
247,P001,2024-01-09,Clear,23.0,10,0
248,P001,2024-01-12,Clear,18.4,15,0
249,P001,2024-01-15,Clear,8.9,11,0
250,P001,2024-01-18,Rain,7.6,13,1
251,P001,2024-01-21,Thunderstorm,41.8,1,2
252,P001,2024-01-24,Cloudy,15.9,10,0
253,P001,2024-01-27,Cloudy,33.4,5,0
254,P001,2024-01-30,Clear,6.4,14,0
255,P001,2024-02-02,Rain,18.3,20,1
256,P001,2024-02-05,Rain,20.7,16,1
257,P001,2024-02-08,Cloudy,20.3,8,0
258,P001,2024-02-11,Rain,6.3,6,1
259,P001,2024-02-14,Clear,14.0,11,0
260,P001,2024-02-17,Fog,14.0,1,1
261,P001,2024-02-20,Cloudy,13.3,18,0
262,P001,2024-02-23,Clear,12.6,17,0
263,P001,2024-02-26,Cloudy,9.9,19,0
264,P001,2024-02-29,Clear,12.6,18,0
265,P001,2024-03-03,Fog,7.1,1,1
266,P001,2024-03-06,Clear,27.0,11,0
267,P001,2024-03-09,Rain,21.9,10,1
268,P001,2024-03-12,Cloudy,9.6,18,0
269,P001,2024-03-15,Clear,33.9,12,0
270,P001,2024-03-18,Clear,8.7,8,0
271,P001,2024-03-21,Rain,17.2,15,1
272,P001,2024-03-24,Cloudy,15.9,15,0
273,P001,2024-03-27,Rain,9.4,12,1
274,P001,2024-03-30,Clear,7.9,12,0
275,P001,2024-04-02,Clear,8.2,8,0
276,P001,2024-04-05,Clear,26.8,14,0
277,P001,2024-04-08,Cloudy,29.2,8,0
278,P001,2024-04-11,Cloudy,26.0,14,0
279,P001,2024-04-14,Cloudy,23.2,6,0
280,P001,2024-04-17,Clear,33.4,17,0
281,P001,2024-04-20,Clear,29.2,17,0
282,P001,2024-04-23,Cloudy,8.8,5,0
283,P001,2024-04-26,Rain,26.4,9,1
284,P001,2024-04-29,Clear,22.0,13,0
285,P001,2024-05-02,Clear,26.8,16,0
286,P001,2024-05-05,Rain,12.5,18,1
287,P001,2024-05-08,Rain,10.5,16,1
288,P001,2024-05-11,Rain,20.1,13,1
289,P001,2024-05-14,Fog,12.8,3,1
290,P001,2024-05-17,Thunderstorm,80.7,3,2
291,P001,2024-05-20,Cloudy,7.6,14,0
292,P001,2024-05-23,Cloudy,14.4,7,0
293,P001,2024-05-26,Cloudy,7.3,12,0
294,P001,2024-05-29,Fog,7.5,1,1
295,P001,2024-06-01,Clear,13.6,20,0
296,P001,2024-06-04,Rain,5.3,18,1
297,P001,2024-06-07,Rain,33.0,9,1
298,P001,2024-06-10,Cloudy,20.5,8,0
299,P001,2024-06-13,Cloudy,23.5,5,0
300,P001,2024-06-16,Rain,26.1,16,1
301,P001,2024-06-19,Clear,27.2,6,0
302,P001,2024-06-22,Cloudy,33.9,12,0
303,P001,2024-06-25,Clear,16.0,9,0
304,P001,2024-06-28,Cloudy,33.6,18,0
305,P002,2022-01-01,Cloudy,10.1,8,0
306,P002,2022-01-04,Clear,25.4,8,0
307,P002,2022-01-07,Clear,19.5,13,0
308,P002,2022-01-10,Clear,27.1,17,0
309,P002,2022-01-13,Clear,14.1,6,0
310,P002,2022-01-16,Fog,18.4,2,1
311,P002,2022-01-19,Clear,5.2,19,0
312,P002,2022-01-22,Clear,15.6,5,0
313,P002,2022-01-25,Clear,26.7,17,0
314,P002,2022-01-28,Clear,8.0,20,0
315,P002,2022-01-31,Clear,20.9,9,0
316,P002,2022-02-03,Cloudy,32.4,5,0
317,P002,2022-02-06,Clear,24.7,12,0
318,P002,2022-02-09,Cloudy,16.2,16,0
319,P002,2022-02-12,Cloudy,10.5,13,0
320,P002,2022-02-15,Clear,18.2,19,0
321,P002,2022-02-18,Clear,15.6,18,0
322,P002,2022-02-21,Clear,31.5,11,0
323,P002,2022-02-24,Clear,13.5,9,0
324,P002,2022-02-27,Clear,27.3,6,0
325,P002,2022-03-02,Clear,11.0,20,0
326,P002,2022-03-05,Fog,19.7,1,1
327,P002,2022-03-08,Cloudy,21.5,9,0
328,P002,2022-03-11,Clear,27.9,17,0
329,P002,2022-03-14,Cloudy,32.7,17,0
330,P002,2022-03-17,Clear,33.7,5,0
331,P002,2022-03-20,Clear,15.3,5,0
332,P002,2022-03-23,Rain,12.1,15,1
333,P002,2022-03-26,Cloudy,22.9,5,0
334,P002,2022-03-29,Cloudy,13.7,20,0
335,P002,2022-04-01,Clear,17.9,9,0
336,P002,2022-04-04,Rain,10.6,13,1
337,P002,2022-04-07,Rain,30.9,12,1
338,P002,2022-04-10,Rain,17.9,20,1
339,P002,2022-04-13,Rain,29.3,10,1
340,P002,2022-04-16,Clear,30.6,9,0
341,P002,2022-04-19,Clear,9.0,6,0
342,P002,2022-04-22,Clear,10.8,9,0
343,P002,2022-04-25,Cloudy,23.5,7,0
344,P002,2022-04-28,Thunderstorm,59.0,5,2
345,P002,2022-05-01,Clear,24.0,12,0
346,P002,2022-05-04,Clear,17.8,6,0
347,P002,2022-05-07,Cloudy,24.3,14,0
348,P002,2022-05-10,Clear,15.9,16,0
349,P002,2022-05-13,Rain,12.4,6,1
350,P002,2022-05-16,Clear,5.0,15,0
351,P002,2022-05-19,Clear,19.2,8,0
352,P002,2022-05-22,Cloudy,12.6,20,0
353,P002,2022-05-25,Clear,14.1,8,0
354,P002,2022-05-28,Rain,25.5,9,1
355,P002,2022-05-31,Clear,27.2,16,0
356,P002,2022-06-03,Rain,22.7,16,1
357,P002,2022-06-06,Clear,13.3,17,0
358,P002,2022-06-09,Clear,8.2,8,0
359,P002,2022-06-12,Clear,34.0,11,0
360,P002,2022-06-15,Clear,18.4,8,0
361,P002,2022-06-18,Clear,21.4,15,0
362,P002,2022-06-21,Clear,19.2,11,0
363,P002,2022-06-24,Cloudy,9.6,9,0
364,P002,2022-06-27,Clear,21.5,13,0
365,P002,2022-06-30,Thunderstorm,78.0,5,2
366,P002,2022-07-03,Storm,84.7,4,3
367,P002,2022-07-06,Cloudy,8.5,18,0
368,P002,2022-07-09,Clear,17.6,5,0
369,P002,2022-07-12,Clear,13.2,9,0
370,P002,2022-07-15,Clear,33.7,6,0
371,P002,2022-07-18,Rain,25.8,17,1
372,P002,2022-07-21,Cloudy,21.0,7,0
373,P002,2022-07-24,Clear,27.5,17,0
374,P002,2022-07-27,Cloudy,16.7,13,0
375,P002,2022-07-30,Clear,5.1,11,0
376,P002,2022-08-02,Cloudy,5.3,19,0
377,P002,2022-08-05,Cloudy,26.6,13,0
378,P002,2022-08-08,Clear,11.6,13,0
379,P002,2022-08-11,Cloudy,10.1,6,0
380,P002,2022-08-14,Cloudy,13.8,9,0
381,P002,2022-08-17,Fog,9.2,1,1
382,P002,2022-08-20,Clear,28.7,12,0
383,P002,2022-08-23,Storm,50.5,1,3
384,P002,2022-08-26,Clear,15.4,16,0
385,P002,2022-08-29,Clear,33.4,13,0
386,P002,2022-09-01,Rain,17.3,14,1
387,P002,2022-09-04,Clear,6.7,5,0
388,P002,2022-09-07,Rain,11.6,13,1
389,P002,2022-09-10,Clear,34.1,8,0
390,P002,2022-09-13,Rain,25.6,13,1
391,P002,2022-09-16,Thunderstorm,71.7,5,2
392,P002,2022-09-19,Clear,18.3,15,0
393,P002,2022-09-22,Clear,22.4,17,0
394,P002,2022-09-25,Clear,12.0,18,0
395,P002,2022-09-28,Clear,32.1,7,0
396,P002,2022-10-01,Cloudy,18.8,10,0
397,P002,2022-10-04,Clear,19.7,10,0
398,P002,2022-10-07,Cloudy,5.6,10,0
399,P002,2022-10-10,Thunderstorm,80.9,5,2
400,P002,2022-10-13,Clear,9.3,18,0
401,P002,2022-10-16,Clear,32.3,17,0
402,P002,2022-10-19,Clear,20.8,5,0
403,P002,2022-10-22,Cloudy,16.3,5,0
404,P002,2022-10-25,Clear,5.4,6,0
405,P002,2022-10-28,Clear,28.1,13,0
406,P002,2022-10-31,Clear,23.8,5,0
407,P002,2022-11-03,Rain,5.3,8,1
408,P002,2022-11-06,Cloudy,29.5,7,0
409,P002,2022-11-09,Clear,19.4,19,0
410,P002,2022-11-12,Rain,14.2,20,1
411,P002,2022-11-15,Clear,6.7,13,0
412,P002,2022-11-18,Cloudy,8.7,6,0
413,P002,2022-11-21,Clear,13.9,18,0
414,P002,2022-11-24,Clear,32.4,5,0
415,P002,2022-11-27,Clear,16.6,16,0
416,P002,2022-11-30,Rain,11.8,17,1
417,P002,2022-12-03,Rain,26.4,8,1
418,P002,2022-12-06,Cloudy,34.7,12,0
419,P002,2022-12-09,Clear,33.7,16,0
420,P002,2022-12-12,Clear,15.0,16,0
421,P002,2022-12-15,Fog,18.8,1,1
422,P002,2022-12-18,Cloudy,10.3,15,0
423,P002,2022-12-21,Cloudy,25.4,9,0
424,P002,2022-12-24,Thunderstorm,74.4,5,2
425,P002,2022-12-27,Rain,15.5,8,1
426,P002,2022-12-30,Clear,20.0,16,0
427,P002,2023-01-02,Fog,17.2,3,1
428,P002,2023-01-05,Rain,28.7,9,1
429,P002,2023-01-08,Rain,9.4,9,1
430,P002,2023-01-11,Clear,26.6,20,0
431,P002,2023-01-14,Rain,8.4,18,1
432,P002,2023-01-17,Fog,9.2,1,1
433,P002,2023-01-20,Clear,8.8,17,0
434,P002,2023-01-23,Clear,19.8,20,0
435,P002,2023-01-26,Rain,17.4,15,1
436,P002,2023-01-29,Clear,33.3,12,0
437,P002,2023-02-01,Clear,21.5,20,0
438,P002,2023-02-04,Cloudy,29.6,17,0
439,P002,2023-02-07,Clear,26.4,12,0
440,P002,2023-02-10,Rain,12.1,5,1
441,P002,2023-02-13,Clear,30.5,16,0
442,P002,2023-02-16,Cloudy,33.7,8,0
443,P002,2023-02-19,Clear,15.5,9,0
444,P002,2023-02-22,Clear,9.3,18,0
445,P002,2023-02-25,Clear,29.8,6,0
446,P002,2023-02-28,Rain,8.5,9,1
447,P002,2023-03-03,Clear,5.8,18,0
448,P002,2023-03-06,Clear,26.0,7,0
449,P002,2023-03-09,Cloudy,22.8,10,0
450,P002,2023-03-12,Clear,16.0,7,0
451,P002,2023-03-15,Clear,5.4,18,0
452,P002,2023-03-18,Clear,10.5,9,0
453,P002,2023-03-21,Rain,26.0,14,1
454,P002,2023-03-24,Cloudy,26.7,19,0
455,P002,2023-03-27,Rain,25.9,14,1
456,P002,2023-03-30,Clear,6.8,6,0
457,P002,2023-04-02,Cloudy,10.2,10,0
458,P002,2023-04-05,Clear,30.0,19,0
459,P002,2023-04-08,Cloudy,29.9,14,0
460,P002,2023-04-11,Rain,17.7,10,1
461,P002,2023-04-14,Clear,7.8,17,0
462,P002,2023-04-17,Storm,46.3,2,3
463,P002,2023-04-20,Cloudy,6.7,17,0
464,P002,2023-04-23,Clear,27.4,7,0
465,P002,2023-04-26,Rain,19.1,15,1
466,P002,2023-04-29,Rain,17.2,17,1
467,P002,2023-05-02,Clear,29.1,18,0
468,P002,2023-05-05,Clear,8.3,7,0
469,P002,2023-05-08,Clear,28.4,15,0
470,P002,2023-05-11,Clear,13.5,8,0
471,P002,2023-05-14,Clear,22.9,14,0
472,P002,2023-05-17,Clear,11.1,6,0
473,P002,2023-05-20,Clear,7.6,6,0
474,P002,2023-05-23,Cloudy,28.7,6,0
475,P002,2023-05-26,Clear,7.8,14,0
476,P002,2023-05-29,Clear,15.7,14,0
477,P002,2023-06-01,Fog,12.5,2,1
478,P002,2023-06-04,Rain,26.8,9,1
479,P002,2023-06-07,Rain,7.9,18,1
480,P002,2023-06-10,Thunderstorm,65.2,5,2
481,P002,2023-06-13,Rain,9.5,17,1
482,P002,2023-06-16,Cloudy,31.1,6,0
483,P002,2023-06-19,Clear,9.5,19,0
484,P002,2023-06-22,Clear,23.8,12,0
485,P002,2023-06-25,Thunderstorm,80.4,2,2
486,P002,2023-06-28,Rain,9.8,15,1
487,P002,2023-07-01,Cloudy,8.9,14,0
488,P002,2023-07-04,Clear,30.7,18,0
489,P002,2023-07-07,Clear,26.4,17,0
490,P002,2023-07-10,Clear,34.9,7,0
491,P002,2023-07-13,Fog,13.5,2,1
492,P002,2023-07-16,Clear,5.4,14,0
493,P002,2023-07-19,Cloudy,34.1,7,0
494,P002,2023-07-22,Cloudy,18.6,10,0
495,P002,2023-07-25,Fog,7.4,2,1
496,P002,2023-07-28,Cloudy,15.6,7,0
497,P002,2023-07-31,Clear,28.2,13,0
498,P002,2023-08-03,Storm,88.9,4,3
499,P002,2023-08-06,Rain,9.2,8,1
500,P002,2023-08-09,Storm,64.4,3,3
501,P002,2023-08-12,Thunderstorm,60.0,5,2
502,P002,2023-08-15,Fog,6.9,2,1
503,P002,2023-08-18,Cloudy,23.7,15,0
504,P002,2023-08-21,Clear,25.5,19,0
505,P002,2023-08-24,Clear,31.3,6,0
506,P002,2023-08-27,Cloudy,24.3,12,0
507,P002,2023-08-30,Rain,21.8,9,1
508,P002,2023-09-02,Thunderstorm,54.5,2,2
509,P002,2023-09-05,Cloudy,30.6,12,0
510,P002,2023-09-08,Clear,18.9,7,0
511,P002,2023-09-11,Clear,19.1,19,0
512,P002,2023-09-14,Clear,10.4,8,0
513,P002,2023-09-17,Fog,18.8,2,1
514,P002,2023-09-20,Clear,14.9,15,0
515,P002,2023-09-23,Clear,23.1,11,0
516,P002,2023-09-26,Rain,19.3,13,1
517,P002,2023-09-29,Cloudy,21.4,20,0
518,P002,2023-10-02,Clear,11.4,6,0
519,P002,2023-10-05,Storm,78.7,1,3
520,P002,2023-10-08,Fog,10.4,2,1
521,P002,2023-10-11,Storm,50.7,2,3
522,P002,2023-10-14,Thunderstorm,87.6,4,2
523,P002,2023-10-17,Clear,24.1,7,0
524,P002,2023-10-20,Clear,13.2,7,0
525,P002,2023-10-23,Clear,26.4,18,0
526,P002,2023-10-26,Cloudy,25.1,13,0
527,P002,2023-10-29,Clear,6.6,18,0
528,P002,2023-11-01,Clear,27.6,10,0
529,P002,2023-11-04,Clear,33.3,20,0
530,P002,2023-11-07,Cloudy,25.7,10,0
531,P002,2023-11-10,Storm,61.8,5,3
532,P002,2023-11-13,Clear,5.3,11,0
533,P002,2023-11-16,Clear,25.0,9,0
534,P002,2023-11-19,Clear,34.6,15,0
535,P002,2023-11-22,Clear,31.9,9,0
536,P002,2023-11-25,Cloudy,14.5,18,0
537,P002,2023-11-28,Clear,26.7,19,0
538,P002,2023-12-01,Fog,17.9,3,1
539,P002,2023-12-04,Cloudy,34.1,8,0
540,P002,2023-12-07,Clear,27.4,11,0
541,P002,2023-12-10,Cloudy,21.4,10,0
542,P002,2023-12-13,Cloudy,11.5,11,0
543,P002,2023-12-16,Fog,19.6,3,1
544,P002,2023-12-19,Fog,10.6,2,1
545,P002,2023-12-22,Clear,31.9,8,0
546,P002,2023-12-25,Rain,24.5,19,1
547,P002,2023-12-28,Cloudy,15.6,18,0
548,P002,2023-12-31,Cloudy,28.0,8,0
549,P002,2024-01-03,Fog,11.9,2,1
550,P002,2024-01-06,Clear,22.8,18,0
551,P002,2024-01-09,Clear,30.4,18,0
552,P002,2024-01-12,Cloudy,26.1,8,0
553,P002,2024-01-15,Storm,80.3,1,3
554,P002,2024-01-18,Clear,5.5,18,0
555,P002,2024-01-21,Clear,27.5,8,0
556,P002,2024-01-24,Cloudy,20.1,6,0
557,P002,2024-01-27,Rain,30.6,11,1
558,P002,2024-01-30,Clear,18.6,17,0
559,P002,2024-02-02,Clear,30.7,8,0
560,P002,2024-02-05,Clear,28.8,19,0
561,P002,2024-02-08,Cloudy,29.6,17,0
562,P002,2024-02-11,Clear,16.2,12,0
563,P002,2024-02-14,Cloudy,13.0,13,0
564,P002,2024-02-17,Clear,32.1,18,0
565,P002,2024-02-20,Rain,5.1,18,1
